,carwidth,curbweight,cylindernumber,stroke,peakrpm,price,aspiration_turbo,enginelocation_rear,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor
0,-0.51851851851852,-0.04806784404185315,0.0,-2.033333333333331,-0.14285714285714285,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.47639487060258784,2.0,0.6,-0.14285714285714285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,0.0,-0.4504737814599515,0.0,0.3666666666666659,0.5714285714285714,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,0.3333333333333351,0.4783020077467494,1.0,0.3666666666666659,0.5714285714285714,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0.29629629629629495,-0.1262604669524789,1.0,0.3666666666666659,0.5714285714285714,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,2.185185185185185,0.5164447506299815,1.0,0.3666666666666659,0.5714285714285714,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.0,0.7262298364877579,1.0,0.3666666666666659,0.5714285714285714,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,2.185185185185185,0.9779719395170895,1.0,0.3666666666666659,0.5714285714285714,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0.8888888888888901,0.9150364137597566,1.0,0.3666666666666659,0.5714285714285714,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,-0.25925925925926,-0.3398598270985785,0.0,-1.6333333333333326,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,-0.25925925925926,0.2608883733123266,2.0,-0.3333333333333333,-1.2142857142857142,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,-0.25925925925926,0.36578091624121484,2.0,-0.3333333333333333,-1.2142857142857142,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,0.51851851851852,0.9188506880480798,2.0,-0.3333333333333333,-1.2142857142857142,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,0.51851851851852,1.2525996882763604,2.0,0.3333333333333333,0.42857142857142855,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,0.8888888888888901,1.538670259900601,2.0,0.3333333333333333,0.42857142857142855,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,2.0,1.7770624029208013,2.0,0.3333333333333333,0.42857142857142855,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,-1.925925925925925,-2.069633216853153,-1.0,-0.8666666666666667,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,0.0,-1.3334782792067739,0.0,-0.6,0.42857142857142855,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,-0.7037037037037024,-1.2667284791611177,0.0,-0.6,0.42857142857142855,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,-0.62962962962963,-1.3296640049184507,0.0,-0.2,0.5714285714285714,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,-0.62962962962963,-0.8490654445897267,0.0,0.3333333333333333,0.5714285714285714,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,-0.62962962962963,-1.1561145247997449,0.0,-0.2,0.5714285714285714,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,-0.62962962962963,-1.1141575076281895,0.0,-0.2,0.5714285714285714,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,-0.62962962962963,-0.7289158045075456,0.0,0.3333333333333333,0.5714285714285714,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,-0.3333333333333351,-0.072860626915954,0.0,0.5666666666666659,-0.14285714285714285,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,0.29629629629629495,0.45350922487264855,0.0,2.033333333333331,-0.14285714285714285,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,-0.5925925925925924,-1.6405273594167922,0.0,0.4,-0.42857142857142855,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,-0.5925925925925924,-1.4383708221356621,0.0,0.4,1.2857142857142858,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,-0.555555555555555,-1.4040423535407534,0.0,-0.7333333333333333,0.5714285714285714,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,-0.555555555555555,-1.2076072276921082,0.0,0.4,1.2857142857142858,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,-0.555555555555555,-1.1770930333855225,0.0,0.4,1.2857142857142858,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,-0.555555555555555,-1.074107627600796,0.0,0.4,1.2857142857142858,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,-0.5925925925925924,-1.0474077075825334,0.0,0.4,1.2857142857142858,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,-0.11111111111110994,-0.6430946330202735,0.0,0.9666666666666659,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,-0.11111111111110994,-0.5420163643797085,0.0,0.9666666666666659,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,-0.11111111111110994,-0.5134093072172844,0.0,0.9666666666666659,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,0.0,-0.38372398141429537,0.0,0.9666666666666659,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,-0.11111111111110994,-0.20636022700726625,0.0,0.9666666666666659,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,0.18518518518518498,-0.534387815803062,0.0,0.9666666666666659,0.5714285714285714,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,-1.37037037037037,-0.4504737814599515,0.0,-0.2,-0.42857142857142855,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,-0.7037037037037024,-1.3334782792067739,0.0,-0.6,0.42857142857142855,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,-0.11111111111110994,0.3066596647722051,0.0,-0.2,-0.14285714285714285,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,1.5185185185185148,2.846966340795461,2.0,2.9333333333333305,-0.5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,2.846966340795461,2.0,2.9333333333333305,-0.5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.8888888888888848,2.625738432072715,4.0,-1.766666666666666,-0.14285714285714285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,-0.4814814814814799,-1.3029640849001882,0.0,-0.4666666666666667,-0.14285714285714285,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51,-0.4814814814814799,-1.2838927134585723,0.0,-0.4666666666666667,-0.14285714285714285,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
